"";"Nombre";"PaginaWeb";"Precios";"LINKSPRODUCTOS"
"1";" Celular Apple Iphone X 64GB 5.8"" Reacondicionado Plata Liberado";"La Polar";" $629.990";"https://scart.cl/producto/6-celular-apple-iphone-x-64gb-5-8-reacondicionado-plata-liberado"
"2";" Smartphone Galaxy S10 128GB.";"Falabella";" $449.990";"https://scart.cl/producto/74-smartphone-galaxy-s10-128gb"
"3";" Smartphone Samsung Galaxy A21S 64GB Negro Liberado";"Paris";" $219.990";"https://scart.cl/producto/75-smartphone-samsung-galaxy-a21s-64gb-negro-liberado"
"4";" Smartphone Xiaomi Redmi Note 9 Pro (128G) Verde";"Falabella";" $339.990";"https://scart.cl/producto/78-smartphone-xiaomi-redmi-note-9-pro-128g-verde"
"5";" Smartphone S10+ 128GB";"Falabella";" $489.990";"https://scart.cl/producto/111-smartphone-s10-128gb"
"6";" Smartphone Iphone 7 Reacondicionado 128 Gb Black / Liberado";"Hites";" $219.990";"https://scart.cl/producto/113-smartphone-iphone-7-reacondicionado-128-gb-black-liberado"
"7";" Smartphone Samsung S10 128 Gb / Liberado";"Hites";" $439.990";"https://scart.cl/producto/114-smartphone-samsung-s10-128-gb-liberado"
"8";" Smartphone Huawei Y9S Piedra de luna 128GB Liberado";"Paris";" $319.990";"https://scart.cl/producto/119-smartphone-huawei-y9s-piedra-de-luna-128gb-liberado"
"9";" Smartphone Samsung A21s 64 Gb / Liberado";"Hites";" $154.990";"https://scart.cl/producto/122-smartphone-samsung-a21s-64-gb-liberado"
"10";" Smartphone Apple Iphone 8 Plata Reacondicionado / 256 Gb / Liberado";"Hites";" $309.990";"https://scart.cl/producto/124-smartphone-apple-iphone-8-plata-reacondicionado-256-gb-liberado"
"11";" Smartphone Motorola One Fusion 64 Gb / Liberado";"Hites";" $119.990";"https://scart.cl/producto/126-smartphone-motorola-one-fusion-64-gb-liberado"
"12";" Smartphone Galaxy S20 128GB";"Falabella";" $499.990";"https://scart.cl/producto/151-smartphone-galaxy-s20-128gb"
"13";" Galaxy Note 20 ULTRA LTE 256gb/8gb Mystic Bronze";"Linio";" $1.399.990";"https://scart.cl/producto/156-galaxy-note-20-ultra-lte-256gb-8gb-mystic-bronze"
"14";" Smartwatch Samsung Galaxy Active Gold";"Hites";" $109.990";"https://scart.cl/producto/202-smartwatch-samsung-galaxy-active-gold"
"15";" Huawei Nova 5T - 128GB ROM - 8GB RAM - Kirin 980 - Negro";"Linio";" $329.990";"https://scart.cl/producto/209-huawei-nova-5t-128gb-rom-8gb-ram-kirin-980-negro"
"16";" Audífonos iPhone";"Yapo";" $17.000";"https://scart.cl/producto/211-audifonos-iphone"
"17";" PC Factory • Tu Partner Tecnológico.";"PC Factory";" $459.990";"https://scart.cl/producto/238-pc-factory-tu-partner-tecnologico"
"18";" Smartphone iPhone 11 64GB";"Falabella";" $639.990";"https://scart.cl/producto/239-smartphone-iphone-11-64gb"
"19";" Smartphone Galaxy A01 32GB";"Falabella";" $64.990";"https://scart.cl/producto/257-smartphone-galaxy-a01-32gb"
"20";" Smartphone Galaxy A21s 128GB (64GB + 64GB)";"Falabella";" $219.990";"https://scart.cl/producto/258-smartphone-galaxy-a21s-128gb-64gb-64gb"
